"Age","r_HD","p_HD"
0,0.003467,0.003460978
1,0.0002075,0.0002074785
2,0.000148,0.00014799
3,0.0001195,0.0001194945
4,0.000127,0.0001269935
5,5.4e-05,5.4e-05
6,5.4e-05,5.4e-05
7,4.85e-05,4.85e-05
8,9.65e-05,9.64965e-05
9,4.4e-05,4.4e-05
10,9.15e-05,9.14955e-05
11,6.75e-05,6.75e-05
12,9e-05,8.99965e-05
13,4.9e-05,4.9e-05
14,0.000102,0.0001019955
15,0.00011,0.0001099935
16,0.0001245,0.0001244945
17,0.0001785,0.0001784825
18,0.000236,0.000235972
19,0.0002375,0.00023747
20,0.000303,0.000302953
21,0.0002735,0.00027345
22,0.0003195,0.0003194415
23,0.000309,0.0003089475
24,0.0002675,0.000267463
25,0.0002865,0.0002864515
26,0.0003465,0.0003464345
27,0.000328,0.000327941
28,0.000399,0.00039892
29,0.0003325,0.000332441
30,0.0004295,0.0004294045
31,0.000435,0.0004349035
32,0.0005045,0.0005043645
33,0.000479,0.000478878
34,0.000492,0.0004918705
35,0.000615,0.0006148045
36,0.00053,0.0005298595
37,0.0006275,0.0006273005
38,0.0006025,0.000602316
39,0.000627,0.0006268035
40,0.0008435,0.0008431395
41,0.000793,0.000792671
42,0.0009435,0.000943039
43,0.00111,0.001109333
44,0.001268,0.001267172
45,0.001381,0.0013800085
46,0.001436,0.0014349545
47,0.001528,0.001526807
48,0.0017855,0.0017838975
49,0.0018225,0.001820822
50,0.0021375,0.0021352085
51,0.0026255,0.0026220495
52,0.00285,0.0028459335
53,0.0030835,0.003078675
54,0.0034555,0.003449476
55,0.0037485,0.003741363
56,0.0044965,0.0044862785
57,0.004836,0.0048241955
58,0.0049335,0.0049212405
59,0.0056285,0.005612456
60,0.0062825,0.00626224
61,0.0068075,0.0067837045
62,0.007921,0.007888929
63,0.0084135,0.0083768285
64,0.0086805,0.0086416635
65,0.010143,0.010090274
66,0.01054,0.010482438
67,0.0122415,0.012164275
68,0.013194,0.0131041725
69,0.0140435,0.013941361
70,0.0158095,0.015680627
71,0.0172405,0.017086227
72,0.019331,0.0191358295
73,0.020984,0.0207543765
74,0.02449,0.024177643
75,0.0258505,0.0255037185
76,0.029415,0.028965588
77,0.0331935,0.0326247545
78,0.036583,0.035893266
79,0.042538,0.0416050145
80,0.0495045,0.048241677
81,0.0546965,0.0531582125
82,0.063584,0.0615232145
83,0.073423,0.0706916225
84,0.0817035,0.0783500525
85,0.0968345,0.092137461
86,0.107586,0.101857852
87,0.123284,0.1158089935
88,0.1389195,0.1295395275
89,0.1603005,0.1479441765
90,0.1834075,0.1674045455
91,0.2027915,0.183353338
92,0.2351875,0.209325333
93,0.247055,0.2185760775
94,0.277646,0.2422770065
95,0.315353,0.2702189795
96,0.3419245,0.2891900305
97,0.354968,0.2987917735
98,0.404356,0.3321108565
99,0.4468305,0.3601643945
100,0.4679695,0.373695061
101,0.486157,0.3849776475
102,0.5116635,0.40044944
103,0.5286445,0.410513065
104,0.563009,0.4302455225
105,0.6135755,0.4573811495
106,0.784008,0.531640598
107,3.202931,0.7216852705
